case_no,status_dttm,status,code,description,violation_stno,violation_street,violation_suffix,violation_city,violation_state,violation_zip,ward,contact_addr1,contact_city,contact_state,contact_zip,sam_id,latitude,longitude,location
V813671,2025-02-05 08:33:56,Open,Article 4 Section 4-3,No use of premises permit:,1181,Dorchester,AV,Dorchester,MA,02125,15,98 SYDNEY ST,DORCHESTER,MA,02125,48245.0,42.310438949810575,-71.05805630013161,"(42.310438949810575, -71.05805630013161)"
V764487,2025-02-04 15:21:58,Open,105.1,Failure to Obtain Permit,1,Westinghouse,PZ,Hyde Park,MA,02136,18,1 WESTINGHOUSE PLAZA SUITE D157,HYDE  PARK,MA,02136,437247.0,42.24709424857129,-71.13082852136478,"(42.24709424857129, -71.13082852136478)"
V794612,2025-02-04 14:29:20,Open,105.1,Failure to Obtain Permit,108,Minden,ST,Jamaica Plain,MA,02130,10,108 MINDEN ST #,JAMAICA PLAIN,MA,02130,167738.0,42.32499326034714,-71.10557288841412,"(42.32499326034714, -71.10557288841412)"
V813454,2025-02-04 09:33:30,Open,3307.1,Protection of Adj. Property,4,Springfield,ST,Roxbury,MA,02118,08,275 Main St,Boston,MA,02129,129852.0,42.33682454493131,-71.07591753446158,"(42.33682454493131, -71.07591753446158)"
V813421,2025-02-04 08:34:06,Open,115.3,Unlawful Continuance,110,Saint Botolph,ST,Boston,MA,02115,04,275 Washington St,Newton,MA,02458,120629.0,42.34438955159917,-71.08113052957886,"(42.34438955159917, -71.08113052957886)"
V813413,2025-02-04 08:21:52,Open,107.4,Failed to comply w permit term,110,Saint Botolph,ST,Boston,MA,02115,04,275 Washington St,Newton,MA,02458,120629.0,42.34438955159917,-71.08113052957886,"(42.34438955159917, -71.08113052957886)"
V813279,2025-02-03 15:42:33,Open,102.8,Maintenance,96,Mount Vernon,ST,Boston,MA,02108,05,96 MOUNT VERNON ST,BOSTON,MA,02108,98779.0,42.35780953388531,-71.0689604722894,"(42.357809533885316, -71.0689604722894)"
V813143,2025-02-03 15:02:17,Open,105.1,Failure to Obtain Permit,5,Holiday,ST,Dorchester,MA,02124,15,5 HOLIDAY ST,DORCHESTER,MA,02122,74606.0,42.301729542525685,-71.0714806029862,"(42.301729542525685, -71.0714806029862)"
V813203,2025-02-03 12:01:50,Open,105.1,Failure to Obtain Permit,47,Condor,ST,East Boston,MA,02128,01,"45 West 3rd St, APT # 313",Boston,MA,02127,42049.0,42.38246649865808,-71.03848217056357,"(42.38246649865808, -71.03848217056357)"
V813151,2025-02-03 10:45:50,Open,Article 4 Section 4-3,No use of premises permit:,18,Baker,AV,Dorchester,MA,02125,15,18 Baker Ave,Dorchester,MA,02125,7601.0,42.312549540839946,-71.07094057823413,"(42.312549540839946, -71.07094057823413)"
V813145,2025-02-03 10:26:33,Open,105.1,Failure to Obtain Permit,230,Canton,ST,Boston,MA,02116,04,230 West Canton,Boston,MA,02116,25743.0,42.34542954645778,-71.07770051910484,"(42.34542954645778, -71.07770051910484)"
V813140,2025-02-03 10:04:13,Open,105.1,Failure to Obtain Permit,18,Baker,AV,Dorchester,MA,02125,15,18 Baker Ave,Dorchester,MA,02125,7601.0,42.312549540839946,-71.07094057823413,"(42.312549540839946, -71.07094057823413)"
V813135,2025-02-03 09:52:18,Open,105.1,Failure to Obtain Permit,8,Charles,ST,Hyde Park,MA,02136,18,1830 Hyde Park Ave,Boston,MA,02136,29278.0,42.25128963423366,-71.13160085090387,"(42.25128963423366, -71.13160085090387)"
V813133,2025-02-03 09:16:15,Open,Article 4 Section 4-3,No use of premises permit:,12,Wilcock,ST,Dorchester,MA,02124,14,9209 AVALON DRIVE,RANDOLPH,MA,02368,460046.0,42.28661038087837,-71.0915008167504,"(42.28661038087837, -71.0915008167504)"
V800211,2025-01-31 14:02:59,Open,1001.3.2,Testing & Certification,218,Northampton,ST,Roxbury,MA,02118,09,218 NORTHAMPTON STREET #1,ROXBURY,MA,02118,103717.0,42.3380095512544,-71.08034054160926,"(42.3380095512544, -71.08034054160926)"
V800203,2025-01-31 14:00:06,Open,1001.3.2,Testing & Certification,214,Northampton,ST,Roxbury,MA,02118,09,214 NORTHAMPTON ST UNIT #1,BOSTON,MA,02118,103712.0,42.33792955060172,-71.08024054214513,"(42.33792955060172, -71.08024054214513)"
V812787,2025-01-30 14:22:29,Open,1006.1,Number of Exits or Exit Access,24,Amherst,ST,Roslindale,MA,02131,20,24 AMHERST ST,ROSLINDALE,MA,02131,3227.0,42.28594962829029,-71.13195077455501,"(42.28594962829029, -71.13195077455501)"
V812784,2025-01-30 13:55:23,Open,102.8,Maintenance,24,Amherst,ST,Roslindale,MA,02131,20,24 AMHERST ST,ROSLINDALE,MA,02131,3227.0,42.28594962829029,-71.13195077455501,"(42.28594962829029, -71.13195077455501)"
V812263,2025-01-29 13:46:33,Open,105.1,Failure to Obtain Permit,48,Beach,ST,Boston,MA,02111,03,10 TYLER ST,BOSTON,MA,02111,9391.0,42.35154952390376,-71.06079046800429,"(42.351549523903756, -71.06079046800429)"
V812363,2025-01-28 14:48:53,Open,102.8,Maintenance,185,Washington,ST,Brighton,MA,02135,21,500 BOYLSTON ST  5TH FLOOR,BOSTON,MA,02116,422975.0,42.34727808654101,-71.14630375886311,"(42.34727808654101, -71.14630375886311)"
V751957,2025-01-28 13:53:43,Open,R104.6,Right of Entry,46,Mystic,ST,Charlestown,MA,02129,02,18 Essex St,Middleton,MA,01949,100018.0,42.380499523795415,-71.06228040623316,"(42.380499523795415, -71.06228040623316)"
V812334,2025-01-28 13:09:29,Open,105.6,Suspension or Revocation,147,West,ST,Hyde Park,MA,02136,18,749 Hyde Park Ave,Roslindale,MA,02131,147887.0,42.26225961844809,-71.12258080656382,"(42.26225961844809, -71.12258080656382)"
V812329,2025-01-28 12:39:43,Open,105.1,Failure to Obtain Permit,1,Locust,ST,Mattapan,MA,02136,18,1-3 LOCUST ST,HYDE PARK,MA,02136,172612.0,42.26582618615236,-71.10683564686883,"(42.26582618615236, -71.10683564686883)"
V812302,2025-01-28 11:23:12,Open,102.8,Maintenance,167,Woodrow,AV,Dorchester,MA,02124,14,167 Woodrow Ave,Dorchester,MA,02124,151859.0,42.28674956447999,-71.08649067094285,"(42.28674956447999, -71.08649067094285)"
V812296,2025-01-28 11:09:34,Open,102.8,Maintenance,100,Brookline,AV,Boston,MA,02215,05,19 Yawkey Wy,Boston,MA,02215,22077.0,42.34599957530555,-71.09941056693906,"(42.34599957530555, -71.09941056693906)"
V776463,2025-01-27 14:35:55,Open,102.8,Maintenance,7,Vesper,ST,West Roxbury,MA,02132,20,7 VESPER STREET,WEST ROXBURY,MA,02132,154912.0,42.29093966752417,-71.1609908287302,"(42.29093966752417, -71.1609908287302)"
V803025,2025-01-27 14:20:26,Open,706.1.1,Party Walls,7,Willow,ST,Boston,MA,02108,05,233 Rumstick Rd,Barrington,RI,02806,150206.0,42.357639533634625,-71.06825047141771,"(42.357639533634625, -71.06825047141771)"
V811630,2025-01-24 14:56:05,Open,116,Unsafe Structures,19,Fresno,ST,Roslindale,MA,02131,20,19 Fresno St,Roslindale,MA,02131,60961.0,42.28396963531208,-71.13675078987976,"(42.283969635312076, -71.13675078987976)"
V811628,2025-01-24 14:45:41,Open,105.1,Failure to Obtain Permit,114,Walworth,ST,Roslindale,MA,02131,20,114 Walworth St,Roslindale,MA,02131,142580.0,42.28328963564217,-71.13719079290932,"(42.28328963564217, -71.13719079290932)"
V811625,2025-01-24 14:39:23,Open,105.1,Failure to Obtain Permit,617,South,ST,Roslindale,MA,02131,19,617 South St Unit 1,Roslindale,MA,02131,128884.0,42.29163961760935,-71.12430074496224,"(42.29163961760935, -71.12430074496224)"
V811611,2025-01-24 11:38:13,Open,105.1,Failure to Obtain Permit,29,Fayston,ST,Dorchester,MA,02121,14,39 LINCOLN WAY,CAMBRIDGE,MA,02140,57049.0,42.31313655006173,-71.07770459094245,"(42.31313655006173, -71.07770459094245)"
V811609,2025-01-24 11:31:00,Open,105.1,Failure to Obtain Permit,29,Fayston,ST,Dorchester,MA,02121,14,39 LINCOLN WAY,CAMBRIDGE,MA,02140,57049.0,42.31313655006173,-71.07770459094245,"(42.31313655006173, -71.07770459094245)"
V810786,2025-01-21 15:21:01,Open,105.1,Failure to Obtain Permit,20,Richfield,ST,Dorchester,MA,02125,15,20 RICHFIELD ST,DORCHESTER,MA,02125,115649.0,42.30846954210906,-71.0717805884676,"(42.30846954210906, -71.0717805884676)"
V778255,2025-01-21 15:07:17,Open,105.1,Failure to Obtain Permit,61,Forest,ST,Roxbury,MA,02119,08,61 FOREST ST,ROXBURY,MA,02119,59316.0,42.32575954778331,-71.07662056165044,"(42.32575954778331, -71.07662056165044)"
V810766,2025-01-21 14:33:24,Open,102.8,Maintenance,776,Dudley,ST,Dorchester,MA,02125,07,32301 Woodward Ave,Royal Oak,MI,48073,164549.0,42.317542700014805,-71.06565990060656,"(42.317542700014805, -71.06565990060656)"
V795871,2025-01-21 12:50:03,Open,102.8,Maintenance,610,Shawmut,AV,Roxbury,MA,02118,09,610 SHAWMUT AV,BOSTON,MA,02119,126449.0,42.33554955146442,-71.0803305469314,"(42.33554955146442, -71.0803305469314)"
V749446,2025-01-21 10:54:52,Open,102.8,Maintenance,8,Sachem,ST,Mission Hill,MA,02120,10,8 SACHEM ST,ROXBURY,MA,02120,120364.0,42.33148958425589,-71.10475061151323,"(42.33148958425589, -71.10475061151323)"
V810626,2025-01-21 10:10:28,Open,102.8,Maintenance,2,Hartford,ST,Dorchester,MA,02125,13,178 Liberty St,Quincy,MA,02169,70208.0,42.318269544420374,-71.07395057071416,"(42.318269544420374, -71.07395057071416)"
V810619,2025-01-21 09:47:59,Open,102.8,Maintenance,53,Van Brunt,ST,Hyde Park,MA,02136,18,53 Van Brunt St,Hyde Park,MA,02136,139773.0,42.24128966530169,-71.12345084433287,"(42.24128966530169, -71.12345084433287)"
V755209,2025-01-21 09:42:43,Open,116,Unsafe Structures,179,Dana,AV,Hyde Park,MA,02136,18,179 DANA AV,HYDE PARK,MA,02136,45920.0,42.2467396328151,-71.1193108289895,"(42.2467396328151, -71.1193108289895)"
V810033,2025-01-17 09:40:58,Open,105.1,Failure to Obtain Permit,62,Lyndhurst,ST,Dorchester,MA,02124,17,62 Lyndhurst Street,Dorchester,MA,02124,87889.0,42.29322954013083,-71.06912061654516,"(42.29322954013083, -71.06912061654516)"
V810027,2025-01-17 09:31:16,Open,111.1,Certificate of Occupancy,280,Sumner,ST,East Boston,MA,02128,01,470 West Broadway,Boston,MA,02127,132362.0,42.36793949231989,-71.0371603781137,"(42.36793949231989, -71.0371603781137)"
V809954,2025-01-16 15:20:17,Closed,907.8,Fire Protection Systems,120,Brookline,AV,Boston,MA,02215,05,126 Brookline Ave,Boston,MA,02215,22081.0,42.34558957600777,-71.09985056920307,"(42.34558957600777, -71.09985056920307)"
V809956,2025-01-16 14:47:11,Open,102.8,Maintenance,25,Bradlee,ST,Dorchester,MA,02124,17,25 BRADLEE ST,DORCHESTER,MA,02124,19089.0,42.29730954670588,-71.07409061840397,"(42.29730954670588, -71.07409061840397)"
V809946,2025-01-16 14:27:40,Open,105.1,Failure to Obtain Permit,25,Edinboro,ST,Boston,MA,02111,03,161 WEBSTER ST,NEEDHAM,MA,02494,51253.0,42.35167952242063,-71.0598604652875,"(42.35167952242063, -71.0598604652875)"
V809944,2025-01-16 14:25:10,Closed,1001.3.2,Testing & Certification,18,Hull,ST,Boston,MA,02113,03,79 Prince St,Boston,MA,02113,75908.0,42.36657951551003,-71.05554042188916,"(42.36657951551003, -71.05554042188916)"
V809939,2025-01-16 14:15:59,Open,1001.3.2,Testing & Certification,84,Harrison,AV,Boston,MA,02111,03,84 HARRISON AV,BOSTON,MA,02111,439615.0,42.35077065113673,-71.06123588980508,"(42.35077065113673, -71.06123588980508)"
V809926,2025-01-16 14:04:59,Open,903.5,Fire Protection Systems,84,Harrison,AV,Boston,MA,02111,03,84 HARRISON AV,BOSTON,MA,02111,439615.0,42.35077065113673,-71.06123588980508,"(42.35077065113673, -71.06123588980508)"
V809741,2025-01-15 15:32:58,Open,110.7,Periodic Inspections,84,Harrison,AV,Boston,MA,02111,03,84 HARRISON AV,BOSTON,MA,02111,439615.0,42.35077065113673,-71.06123588980508,"(42.35077065113673, -71.06123588980508)"
V809694,2025-01-15 12:15:38,Open,105.1,Failure to Obtain Permit,147,West,ST,Hyde Park,MA,02136,18,749 Hyde Park Ave,Roslindale,MA,02131,147887.0,42.26225961844809,-71.12258080656382,"(42.26225961844809, -71.12258080656382)"
V809406,2025-01-15 10:21:51,Open,1006.1,Number of Exits or Exit Access,173,Delhi,ST,Mattapan,MA,02126,18,173 Delhi st,Mattapan,Ma,02126,47132.0,42.275909571495234,-71.09006070329025,"(42.275909571495234, -71.09006070329025)"
V795813,2025-01-15 10:14:00,Open,105.1,Failure to Obtain Permit,147,West,ST,Hyde Park,MA,02136,18,749 Hyde Park Ave,Roslindale,MA,02131,147887.0,42.26225961844809,-71.12258080656382,"(42.26225961844809, -71.12258080656382)"
V625899,2025-01-15 09:53:08,Open,116,Unsafe Structures,2,Austin,ST,Hyde Park,MA,02136,18,2 AUSTIN ST,HYDE PARK,MA,02136,6731.0,42.257509626327995,-71.12680082612967,"(42.257509626327995, -71.12680082612967)"
V779251,2025-01-15 09:51:39,Open,105.1,Failure to Obtain Permit,606,American Legion,HW,Roslindale,MA,02131,18,24 DOANE RD,MEDFORD,MA,02155,3168.0,42.285739596938924,-71.10956072458426,"(42.285739596938924, -71.10956072458426)"
V616080,2025-01-15 09:50:32,Open,116,Unsafe Structures,1414,Blue Hill,AV,Mattapan,MA,02126,18,619 CUMMINS HWY,HYDE PARK,MA,02136,16266.0,42.275819575181664,-71.09315071008348,"(42.275819575181664, -71.09315071008348)"
V758299,2025-01-15 09:49:14,Open,107.4,Failed to comply w permit term,27,Leroy,ST,Dorchester,MA,02122,15,27 LEROY ST,DORCHESTER,MA,02122,85195.0,42.30095953353391,-71.06471058932426,"(42.30095953353391, -71.06471058932426)"
V799405,2025-01-15 09:47:21,Open,105,Permits,71,Astoria,ST,Mattapan,MA,02126,18,71 Astoria St,Boston,MA,02126,5648.0,42.2792395678359,-71.08814069067168,"(42.2792395678359, -71.08814069067168)"
V809642,2025-01-15 09:37:01,Open,105.1,Failure to Obtain Permit,97,Alabama,ST,Mattapan,MA,02126,18,97 Alabama St,Mattapan,MA,02126,1376.0,42.277289586652344,-71.10110072482041,"(42.277289586652344, -71.10110072482041)"
V749732,2025-01-15 08:39:13,Open,105.1,Failure to Obtain Permit,35,Belnel,RD,Mattapan,MA,02126,18,35 BELNEL RD,HYDE PARK,MA,02136,14226.0,42.26195959370234,-71.10443076592202,"(42.26195959370234, -71.10443076592202)"
V809622,2025-01-15 08:37:30,Closed,105.1,Failure to Obtain Permit,29,Fayston,ST,Dorchester,MA,02121,14,29 Fayston St,Dorchester,MA,02121,57049.0,42.31313655006173,-71.07770459094245,"(42.31313655006173, -71.07770459094245)"
V803511,2025-01-14 10:16:49,Open,105.1,Failure to Obtain Permit,41,Messinger,ST,Mattapan,MA,02126,18,41 Messinger,Mattapan,MA,02126,94729.0,42.27351958399392,-71.09933072876318,"(42.27351958399392, -71.09933072876318)"
V751038,2025-01-14 09:55:56,Open,1006.1,Number of Exits or Exit Access,1633,Blue Hill,AV,Mattapan,MA,02126,18,1340 CENTRE STREET #101,NEWTON,MA,02459,16340.0,42.26826957703203,-71.09413072874563,"(42.26826957703203, -71.09413072874563)"
V809234,2025-01-13 15:39:13,Open,105.1,Failure to Obtain Permit,1651,Blue Hill,AV,Mattapan,MA,02126,18,1651 Blue Hilll Avenue,Mattapan,MA,02126,162269.0,42.267968932630566,-71.09415952396792,"(42.267968932630566, -71.09415952396792)"
V808663,2025-01-13 15:29:01,Open,105.1,Failure to Obtain Permit,1651,Blue Hill,AV,Mattapan,MA,02126,18,25 Burlington Mall Road,Burlington,MA,01803,162269.0,42.267968932630566,-71.09415952396792,"(42.267968932630566, -71.09415952396792)"
V809072,2025-01-13 10:38:31,Open,116,Unsafe Structures,400,Dorchester,AV,South Boston,MA,02127,07,c/o Dave Winick,South Boston,MA,02127,48590.0,42.33488334016897,-71.0564046784689,"(42.33488334016897, -71.0564046784689)"
V808632,2025-01-10 08:13:18,Open,314.28,Pull & Junction Boxes,14,Wakullah,ST,Roxbury,MA,02119,12,74 Summer St,Hyde Park,MA,02136,141353.0,42.32231956055151,-71.08612059073172,"(42.32231956055151, -71.08612059073172)"
V808632,2025-01-10 08:13:18,Open,230.85,Emergency Disconnects,14,Wakullah,ST,Roxbury,MA,02119,12,74 Summer St,Hyde Park,MA,02136,141353.0,42.32231956055151,-71.08612059073172,"(42.32231956055151, -71.08612059073172)"
V808503,2025-01-09 09:12:22,Open,107.4,Failed to comply w permit term,5205,Washington,ST,West Roxbury,MA,02132,20,36 Remar Ave,Wapole,MA,02081,145662.0,42.26125825826538,-71.15749316221175,"(42.26125825826538, -71.15749316221175)"
V808500,2025-01-09 09:03:33,Closed,102.8,Maintenance,18,Hull,ST,Boston,MA,02113,03,79 Prince St,Boston,MA,02113,75908.0,42.36657951551003,-71.05554042188916,"(42.36657951551003, -71.05554042188916)"
V808497,2025-01-09 08:55:48,Closed,907.8,Fire Protection Systems,18,Hull,ST,Boston,MA,02113,03,79 Prince St,Boston,MA,02113,75908.0,42.36657951551003,-71.05554042188916,"(42.36657951551003, -71.05554042188916)"
V808315,2025-01-08 11:35:57,Open,102.8,Maintenance,40,Harrison,AV,Boston,MA,02111,03,33 HARRISON AV # 601,BOSTON,MA,02111,340723.0,42.35159938116215,-71.0609966937615,"(42.35159938116215, -71.0609966937615)"
V808310,2025-01-08 11:14:29,Open,102.8,Maintenance,5,Middleton,ST,Dorchester,MA,02124,14,393 Norfolk,Dorchester,MA,02124,95257.0,42.28271556518291,-71.0861946791125,"(42.28271556518291, -71.0861946791125)"
V808302,2025-01-08 10:46:54,Open,102.8,Maintenance,65,Cornell,ST,Roslindale,MA,02131,18,65 Cornell St,Roslindale,MA,02131,43062.0,42.276389627769895,-71.13055079230239,"(42.276389627769895, -71.13055079230239)"
V808292,2025-01-08 10:34:35,Closed,102.8,Maintenance,24,Kneeland,ST,Boston,MA,02111,03,30 Kneeland St,Boston,MA,02111,166795.0,42.35084974788222,-71.06183771266038,"(42.35084974788222, -71.06183771266038)"
V808280,2025-01-08 09:33:55,Closed,102.8,Maintenance,412,Market,ST,Brighton,MA,02135,22,33 KENWOOD,BROOKLINE,MA,02446,158007.0,42.34945201909794,-71.15314110366546,"(42.34945201909794, -71.15314110366546)"
V808135,2025-01-07 15:37:20,Open,10.14(b),Water Supply & the Water Distribution System,2,Aramon,ST,East Boston,MA,02128,01,2 Aramon Street,East Boston,MA,02128,4213.0,42.36620548427929,-71.03112936803272,"(42.36620548427929, -71.03112936803272)"
V808135,2025-01-07 15:37:20,Open,10.11,Hangers & Supports,2,Aramon,ST,East Boston,MA,02128,01,2 Aramon Street,East Boston,MA,02128,4213.0,42.36620548427929,-71.03112936803272,"(42.36620548427929, -71.03112936803272)"
V807581,2025-01-03 13:53:53,Open,102.8,Maintenance,52,Union,PK,Roxbury,MA,02118,03,7 Sumac Lane,Sharon,MA,02067,170690.0,42.34336698024409,-71.07232319371792,"(42.34336698024409, -71.07232319371792)"
V753528,2025-01-03 10:59:52,Open,1001.3.3,,23,Monument,AV,Charlestown,MA,02129,02,23 MONUMENT AV,CHARLESTOWN,MA,02129,96860.0,42.37432952317994,-71.06194641923304,"(42.37432952317994, -71.06194641923304)"
V753529,2025-01-03 10:58:47,Open,1001.3.3,,21,Monument,AV,Charlestown,MA,02129,02,21 MONUMENT AV,CHARLESTOWN,MA,02129,276927.0,42.37427952380194,-71.06198041926817,"(42.37427952380194, -71.06198041926817)"
V807553,2025-01-03 09:18:07,Open,105.1,Failure to Obtain Permit,191,Cornell,ST,Roslindale,MA,02131,18,191 CORNELL ST,ROSLINDALE,MA,02131,42967.0,42.27930063325594,-71.13485279586867,"(42.27930063325594, -71.13485279586867)"
V807507,2025-01-02 15:20:24,Closed,1001.3.2,Testing & Certification,6,Johnny,CT,Boston,MA,02111,03,5 TRINITY ROAD,WINCHESTER,MA,01890,79889.0,42.347859527732325,-71.06322048138941,"(42.347859527732325, -71.06322048138941)"
V807444,2025-01-02 08:40:20,Open,107.4,Failed to comply w permit term,17,Beach,ST,Boston,MA,02111,03,400 SOUTH AVE,WESTON,MA,02493,161858.0,42.35131339124589,-71.06199558776353,"(42.35131339124589, -71.06199558776353)"
V807184,2024-12-30 10:19:11,Open,102.8,Maintenance,51,Beech Glen,ST,Roxbury,MA,02119,11,51 BEECH GLEN,ROXBURY,MA,02119,13344.0,42.32445957209921,-71.09525060592132,"(42.32445957209921, -71.09525060592132)"
V806319,2024-12-26 08:23:23,Open,105.1,Failure to Obtain Permit,1162,Morton,ST,Mattapan,MA,02126,17,1162 Morton ST,MATTAPAN,MA,02126,97659.0,42.27580954746868,-71.0732306647095,"(42.27580954746868, -71.0732306647095)"
V805717,2024-12-23 11:48:49,Open,105.1,Failure to Obtain Permit,1366,River,ST,Hyde Park,MA,02136,18,1366 RIVER ST,HYDE PARK,MA,02136,169185.0,42.25481818897631,-71.12793654447935,"(42.25481818897631, -71.12793654447935)"
V805002,2024-12-20 15:20:09,Open,102.8,Maintenance,46,Massasoit,ST,Mattapan,MA,02136,18,46 Massasiot St,Hyde Park,MA,02136,92698.0,42.26224958704436,-71.10033075650112,"(42.26224958704436, -71.10033075650112)"
V805052,2024-12-20 13:47:15,Closed,102.8,Maintenance,1,Harvard,AV,Allston,MA,02134,21,C/O O'BRIENS PUB/GAIL ATKINSON,BOSTON,MA,02134,156445.0,42.3552614972918,-71.13290137350627,"(42.3552614972918, -71.13290137350627)"
V805006,2024-12-20 08:53:56,Open,3307,Protection of Adj. Property,9,Queen,ST,Dorchester,MA,02122,16,9 QUEEN ST,DORCHESTER,MA,02122,113713.0,42.2936795183578,-71.05336857975954,"(42.2936795183578, -71.05336857975954)"
V804383,2024-12-18 09:04:18,Open,116,Unsafe Structures,24,Factory,ST,Hyde Park,MA,02136,18,1034 EAST ST,DEDHAM,MA,02026,165148.0,42.2530886256192,-71.12620583521651,"(42.2530886256192, -71.12620583521651)"
V804382,2024-12-18 08:54:10,Open,102.8,Maintenance,8,Winter,ST,Hyde Park,MA,02136,18,39 BRIGHTON AVE,BOSTON,MA,02134,171888.0,42.24846718625269,-71.12790443040981,"(42.24846718625269, -71.12790443040981)"
V799466,2024-12-18 08:40:58,Open,102.8,Maintenance,383,Blue Hill,AV,Dorchester,MA,02121,12,"100 HANO ST, Unit SUITE-26",ALLSTON,MA,02134,16442.0,42.311689554673414,-71.0811326027668,"(42.311689554673414, -71.0811326027668)"
V799428,2024-12-18 08:37:16,Open,105.1,Failure to Obtain Permit,38,Raldne,RD,Hyde Park,MA,02136,18,40 Raldne Rd,Boston,MA,02136,114462.0,42.255875647083975,-71.14133686287609,"(42.255875647083975, -71.14133686287609)"
V803801,2024-12-13 12:01:22,Open,110.5,Inspections,157,Springfield,ST,Roxbury,MA,02118,09,9 SCHOOL ST,QUINCY,MA,02169,370179.0,42.339157603179,-71.07861908931548,"(42.339157603179, -71.07861908931548)"
V660178,2024-12-13 10:34:44,Open,110.5,Inspections,81,Astoria,ST,Mattapan,MA,02126,18,81 ASTORIA STREET,MATTAPAN,MA,02126,5654.0,42.27887956856776,-71.08844069235036,"(42.27887956856776, -71.08844069235036)"
V803805,2024-12-12 15:07:29,Open,107.4,Failed to comply w permit term,45,Third,ST,South Boston,MA,02127,06,55 HENSHAW STREET,BRIGHTON,MA,02135,387641.0,42.34203363093269,-71.05433052273771,"(42.34203363093269, -71.05433052273771)"
V803506,2024-12-11 09:49:18,Open,105.1,Failure to Obtain Permit,2,Linden,AV,Mattapan,MA,02136,18,2 Linden Ave,Hyde Park,MA,02136,86328.0,42.26431959554843,-71.10587076437332,"(42.26431959554843, -71.10587076437332)"
V803483,2024-12-11 08:53:07,Open,116,Unsafe Structures,180,Kennebec,ST,Mattapan,MA,02126,18,180 Kennebec St,Mattapan,MA,02126,81124.0,42.27299959378318,-71.10591074456933,"(42.27299959378318, -71.10591074456933)"
V803117,2024-12-09 14:24:58,Open,116,Unsafe Structures,683,Columbia,RD,Dorchester,MA,02125,07,923 Hyde Park Ave,Hyde Park,MA,02136,35361.0,42.31952952907696,-71.06236054203828,"(42.31952952907696, -71.06236054203828)"
V803061,2024-12-09 11:24:27,Closed,105.1,Failure to Obtain Permit,1,Locust,ST,Mattapan,MA,02136,18,1-3 Locust St,Hyde Park,MA,02136,172612.0,42.26582618615236,-71.10683564686883,"(42.26582618615236, -71.10683564686883)"
